./data_files/66°30.xls: 14031L0
   acronym  code  concentration
16     ABC   120         0.0200
17    FSOL     5         0.0100
18    HUIL   124         0.0200
20    CONS    11         0.0100
21    CONS    37         0.0030
22    HUME    16         0.0100
23    CONS    23         0.0010
25     EAU     5         0.0300
26    ACTI    31         0.0001
28    ACTI   175         0.0200
29    PARF   154         0.0020
31     EAU     4         0.0300
32    ACTI  1077         0.0040

./data_files/14100 à 14300.xls: 14142L0
   acronym  code  concentration
3      EAU     4         0.6502
4     ADDI     3         0.0005
5     HUME     2         0.0300
6     HUME     7         0.0300
7     GELI    17         0.0040
9     EMUL     3         0.0400
10    HUIL    18         0.0300
11    HUIL     1         0.0300
12    HUIL     4         0.0300
13    HUIL    26         0.0300
14    HUIL    12         0.0200
16    ADDI    98         0.0012
17    GELI    15         0.0100
19    CONS    11         0.0100
20    CONS    37         0.0030
21    CONS    23         0.0010
22    HUME    16         0.0100
24    ACTI    31         0.0001
25     EAU     3         0.0300
27    ACTI   175         0.0200
28    ACTI  1076         0.0200

./data_files/14100 à 14300.xls: 14142L1
   acronym  code  concentration
3      EAU     4         0.6002
4     ADDI     3         0.0005
5     HUME     2         0.0300
6     HUME     7         0.0300
7     GELI    17         0.0040
9     EMUL     3         0.0400
10    HUIL    18         0.0300
11    HUIL     1         0.0300
12    HUIL     4         0.0300
13    HUIL    26         0.0300
14    CGRA    48         0.0300
15    HUIL    12         0.0200
16    SILI    14         0.0150
18    ADDI    98         0.0012
19    GELI    15         0.0100
21    CONS    11         0.0100
22    CONS    37         0.0030
23    CONS    23         0.0010
24    HUME    16         0.0100
26    ACTI    31         0.0001
27     EAU     3         0.0300
29    PARF   154         0.0050
30    ACTI   175         0.0200
31    ACTI  1076         0.0200

./data_files/14100 à 14300.xls: 14142L2
   acronym  code  concentration
3      EAU     4         0.6032
4     ADDI     3         0.0005
5     HUME     2         0.0300
6     HUME     7         0.0300
7     GELI    17         0.0040
9     EMUL     3         0.0400
10    HUIL    18         0.0300
11    HUIL     1         0.0300
12    HUIL     4         0.0300
13    HUIL    26         0.0300
14    CGRA    48         0.0300
15    HUIL    12         0.0200
16    SILI    14         0.0150
18    ADDI    98         0.0012
19    GELI    15         0.0100
21    CONS    11         0.0100
22    CONS    37         0.0030
23    CONS    23         0.0010
24    HUME    16         0.0100
26    ACTI    31         0.0001
27     EAU     3         0.0300
29    PARF   154         0.0020
30    ACTI   175         0.0200
31    ACTI  1076         0.0200

./data_files/14100 à 14300.xls: 14143L0
   acronym  code  concentration
