./data_files/66°30.xls: 14031L0
   acronym  code  concentration
7     ACTI   169          0.004
8     EXTS   503          0.005
9     HUME     2          0.030
11    EMUL    53          0.080
12    HUIL    78          0.030
13    HUIL    44          0.020
14    HUIL   114          0.035
15    SILI     3          0.010
16    CGRA    22          0.050
18    ACTI    44          0.002
20    CONS    61          0.008
22     A2P     2          0.005

./data_files/A2P.xls: 12431A12
   acronym  code  concentration
3      EAU     4        0.63662
4     ACTI    22        0.00100
5     ACTI   270        0.00300
6     ACTI   169        0.00400
7     EXTS   503        0.00500
8     HUME     2        0.03000
10    EMUL    53        0.08000
11    HUIL    78        0.03000
12    HUIL    44        0.02000
13    HUIL   114        0.03500
14    SILI     3        0.01000
15    CGRA    22        0.05000
17    ACTI    44        0.00200
19    CONS    61        0.00800
21    HUME    16        0.05000
22     A2P     2        0.02000
23    ACTI   433        0.01000

./data_files/A2P.xls: 12431A13
   acronym  code  concentration
3      EAU     4        0.64165
4     ACTI    22        0.00100
5     ACTI   270        0.00300
6     ACTI   169        0.00400
7     EXTS   503        0.00500
8     HUME     2        0.03000
10    EMUL    53        0.08000
11    HUIL    78        0.03000
12    HUIL    44        0.02000
13    HUIL   114        0.03500
14    SILI     3        0.01000
15    CGRA    22        0.05000
17    ACTI    44        0.00200
19    CONS    61        0.00800
21    HUME    16        0.05000
22     A2P     2        0.02000
23    ACTI   433        0.00500

./data_files/A2P.xls: 12431A14
   acronym  code  concentration
3      EAU     4        0.66242
4     ACTI    22        0.00100
5     ACTI   270        0.00300
6     ACTI   169        0.00400
7     EXTS   503        0.00500
8     HUME     2        0.03000
10    EMUL    53        0.08000
11    HUIL    78        0.03000
12    HUIL    44        0.02000
13    HUIL   114        0.03500
14    SILI     3        0.01000
15    CGRA    22        0.05000
17    ACTI    44        0.00200
19    CONS    61        0.00800
21    HUME    16        0.05000
22     A2P     2        0.00200
23    ACTI   433        0.00500

./data_files/A2P.xls: 12431A15
   acronym  code  concentration
3      EAU     4        0.65732
4     ACTI    22        0.00100
5     ACTI   270        0.00300
6     ACTI   169        0.00400
7     EXTS   503        0.00500
8     HUME     2        0.03000
10    EMUL    53        0.08000
11    HUIL    78        0.03000
12    HUIL    44        0.02000
13    HUIL   114        0.03500
14    SILI     3        0.01000
15    CGRA    22        0.05000
17    ACTI    44        0.00200
19    CONS    61        0.00800
21    HUME    16        0.05000
22     A2P     2        0.00200
23    ACTI   433        0.01000

./data_files/A2P.xls: 12431A16
   acronym  code  concentration
3      EAU     4        0.62761
4     ACTI   270        0.00300
5     ACTI    22        0.00100
6     ACTI   169        0.00400
7     HUME     2        0.03000
8     EXTS   503        0.00500
10    EMUL    53        0.08000
11    HUIL    78        0.03000
12    HUIL    44        0.02000
13    HUIL   114        0.03500
14    SILI     3        0.01000
15    CGRA    22        0.05000
17    ACTI    44        0.00200
19    HUME    16        0.05000
20    CONS    61        0.00800
22    ACTI   108        0.03000
23    ACTI   107        0.01000
25    ACTI   104        0.00439

./data_files/A2P.xls: 13188
   acronym  code  concentration
3      EAU     4       0.604466
4     EXTR   186       0.020000
5     EXTR    33       0.040000
6     HUME     2       0.020000
8     HUIL    44       0.050000
9     SILI     3       0.010000
10    HUIL    19       0.030000
11    EMUL    53       0.080000
12    CGRA    22       0.050000
14    CONS    61       0.008000
15    HUME     2       0.020000
16    EXTS   503       0.005000
17    ACTI   169       0.002000
18    ACTI    22       0.005000
19     EAU     4       0.050000
20    ACTI   270       0.003000
21    ADDI     1       0.000534
22     A2P     1       0.002000

./data_files/A2P.xls: 13757L0
   acronym  code  concentration
3      EAU     4         0.3919
4     ADDI     3         0.0010
5     HUME     2         0.0500
6     ACTI   169         0.0040
8     CGRA   515         0.1000
9     EMUL    14         0.0500
10    CGRA    11         0.0300
11    HUIV   509         0.0100
12    HUIV   503         0.0100
13    EMUL    69         0.0050
14    ACTI     7         0.0050
15    FSOL     3         0.0100
16    FSOL     5         0.0700
17    FSOL    48         0.0600
18    FSOL     4         0.0150
19    CONS     3         0.0001
21    FSOL   507         0.0200
23    CONS   511         0.0030
25    ACTI    22         0.0100
26    EXTS   503         0.0050
28    ACTI    59         0.0500
29     EAU     1         0.1000

./data_files/A2P.xls: NACRIDERM ABRICOT 50004A1
   acronym  code  concentration
3      EAU     4         0.5640
4     HUME     5         0.0200
5     ACTI    22         0.0100
6     ACTI   169         0.0020
8     FSOL     2         0.0700
9     COLO   542         0.0085
10    COLO   508         0.0040
12    CGRA   556         0.0700
13    CGRA    15         0.0100
14    EMUL    14         0.0300
15    HUIL    13         0.0400
16    HUIL    19         0.0300
17    CGRA     1         0.0100
18    CGRA   537         0.0300
20    CONS   511         0.0050
22     EAU     7         0.0200
23    HUME     5         0.0200
24    EXTS   503         0.0050
26    ADDI    17         0.0015
27    ACTI   523         0.0500

./data_files/A2P.xls: 50004A2 base sans colorants
   acronym  code  concentration
3      EAU     4        0.57538
4     HUME     5        0.02000
5     ACTI    22        0.01000
6     ACTI   169        0.00200
8     FSOL     2        0.07000
10    ADDI    17        0.00032
12    CGRA   556        0.07000
13    CGRA    15        0.01000
14    EMUL    14        0.03000
15    HUIL    13        0.04000
16    HUIL    19        0.03000
17    CGRA     1        0.01000
18    CGRA   537        0.03000
20    CONS   511        0.00500
22     EAU     7        0.02000
23    HUME     5        0.02000
24    EXTS   503        0.00500
25    ADDI    17        0.00230
27    ACTI   523        0.05000

./data_files/A2P.xls: 50004A2
   acronym  code  concentration
3      EAU     4        0.56354
4     HUME     5        0.02000
5     ACTI    22        0.01000
6     ACTI   169        0.00200
8     COLO    70        0.00370
9     COLO    72        0.00094
10    COLO    69        0.00720
11    FSOL     2        0.07000
13    ADDI    17        0.00032
15    CGRA   556        0.07000
16    CGRA    15        0.01000
17    EMUL    14        0.03000
18    HUIL    13        0.04000
19    HUIL    19        0.03000
20    CGRA     1        0.01000
21    CGRA   537        0.03000
23    CONS   511        0.00500
25     EAU     7        0.02000
26    HUME     5        0.02000
27    EXTS   503        0.00500
28    ADDI    17        0.00230
30    ACTI   523        0.05000

./data_files/A2P.xls: 50004A3
   acronym  code  concentration
3      EAU     4         0.5507
4     HUME     5         0.0200
5     ACTI    22         0.0100
6     ACTI   169         0.0020
7     ADDI    17         0.0015
9     FSOL     2         0.0900
10    COLO    70         0.0037
11    COLO    72         0.0001
12    COLO    69         0.0020
14    CGRA   556         0.0700
15    CGRA    15         0.0100
16    EMUL    14         0.0300
17    HUIL    13         0.0400
18    HUIL    19         0.0300
19    CGRA     1         0.0100
20    CGRA   537         0.0300
22    CONS   511         0.0050
24     EAU     7         0.0200
25    HUME     5         0.0200
26    EXTS   503         0.0050
28    ACTI   523         0.0500

./data_files/A2P.xls: 50004A4
   acronym  code  concentration
3      EAU     4         0.5682
4     HUME     5         0.0200
5     ACTI    22         0.0100
6     ACTI   169         0.0020
7     ADDI    17         0.0005
9     FSOL     2         0.0700
10    COLO    70         0.0024
11    COLO    72         0.0008
12    COLO    69         0.0051
14    CGRA   556         0.0700
15    CGRA    15         0.0100
16    EMUL    14         0.0300
17    HUIL    13         0.0400
18    HUIL    19         0.0300
19    CGRA     1         0.0100
20    CGRA   537         0.0300
22    CONS   511         0.0050
24     EAU     7         0.0200
25    HUME     5         0.0200
26    EXTS   503         0.0050
28    ACTI   523         0.0500
29    ADDI    17         0.0010

./data_files/A2P.xls: 50004A5
   acronym  code  concentration
3      EAU     4        0.54832
4     HUME     5        0.02000
5     ACTI    22        0.01000
6     ACTI   169        0.00200
7     ADDI    17        0.00050
9     FSOL     2        0.09000
10    COLO    70        0.00210
11    COLO    72        0.00060
12    COLO    69        0.00450
14    CGRA   556        0.07000
15    CGRA    15        0.01000
16    EMUL    14        0.03000
17    HUIL    13        0.04000
18    HUIL    19        0.03000
19    CGRA     1        0.01000
20    CGRA   537        0.03000
22    CONS   511        0.00500
24     EAU     7        0.02000
25    HUME     5        0.02000
26    EXTS   503        0.00500
28    ACTI   523        0.05000
29    ADDI    17        0.00198

