acronym,code,concentration
EAU,3,0.0022
ACTI,778,0.5
MOUS,9,0.005
PARF,376,0.0005
CONS,28,0.005
EAU,8,0.033400000000000096
GELI,17,0.005
ACTI,778,0.95
ADDI,98,0.0011
MOUS,9,0.005
PARF,376,0.0005
CONS,28,0.005
EAU,8,0.23340000000000005
GELI,17,0.005
ADDI,98,0.0011
ACTI,778,0.75
MOUS,9,0.005
PARF,376,0.0005
CONS,28,0.005
EAU,8,0.23340000000000005
GELI,17,0.005
ADDI,98,0.0011
ACTI,563,0.75
MOUS,9,0.005
PARF,376,0.0005
CONS,28,0.005
EAU,8,0.23839999999999995
GELI,17,0.005
ADDI,98,0.0011
ACTI,778,0.75
MOUS,9,0.005
PARF,376,0.0005
EAU,8,0.23819999999999997
GELI,17,0.001
ADDI,98,0.0003
ACTI,563,0.75
MOUS,9,0.005
PARF,376,0.0005
CONS,28,0.005
EAU,8,0.23950000000000005
ACTI,563,0.75
MOUS,9,0.005
PARF,376,0.0005
CONS,28,0.005
EAU,8,0.22040000000000004
GELI,17,0.005
ADDI,98,0.0011
ACTI,778,0.75
HUME,16,0.01
CONS,64,0.003
CONS,37,0.003
HUME,18,0.002
MOUS,9,0.005
PARF,376,0.0005
EAU,8,0.4787
GELI,17,0.007
ADDI,98,0.0021
EAU,3,0.0022
ACTI,778,0.5
MOUS,9,0.005
CONS,28,0.005
EAU,4,0.47
GELI,80,0.0185
ACTI,230,0.5
CONS,31,0.001
CONS,28,0.005
MOUS,9,0.005
PARF,381,0.0005
EAU,8,0.901075
GELI,18,0.002
ABC,1,0.05
HUME,2,0.03
CONS,28,0.005
ABC,15,0.0099
EXTR,324,2.5e-05
ABC,56,0.002
EAU,4,0.869
HUME,26,0.05
GELI,80,0.01
EAU,5,0.05
ACTI,414,0.005
ADDI,98,0.0005
CONS,28,0.005
MOUS,9,0.01
PARF,11,0.0005
EAU,8,0.83899
ADDI,3,0.0005
ADDI,41,0.02
ADDI,152,0.01
GELI,80,0.01
MOUS,9,0.02
PARF,392,0.0005
EAU,3,0.05
ACTI,816,1e-05
ACTI,373,0.03
ACTI,732,0.02
EAU,3,0.6263
ACTI,721,0.2857
GELI,15,0.05
CONS,28,0.005
PARF,496,0.001
ADDI,98,0.032
EAU,3,0.6113
ACTI,721,0.2857
GELI,15,0.065
CONS,28,0.005
PARF,496,0.001
ADDI,98,0.032
GELI,11,0.003
ACTI,230,0.05
MOUS,9,0.005
PARF,381,0.0005
CONS,28,0.005
GELI,11,0.005
SILI,9,0.03
ACTI,230,0.05
MOUS,9,0.005
PARF,381,0.0005
CONS,28,0.005
ACTI,439,0.01
EAU,8,0.86478
ACTI,721,0.07
EAU,3,0.01
ACTI,444,0.001
EXTR,53,0.01
EXTR,14,0.01
CONS,28,0.005
ADDI,98,0.02922
EAU,13,0.597075
ADDI,27,0.08
ADDI,10,0.02
ADDI,17,0.005
CGRA,15,0.08
CGRA,556,0.05
HUIL,13,0.1
ABC,12,0.03
ACTI,469,0.01
CONS,28,0.005
CONS,31,0.002
ABC,15,0.0099
EXTR,324,2.5e-05
ACTI,500,0.01
PARF,415,0.001
ADDI,123,0.31
GELI,92,0.12
GELI,75,0.005
ADDI,127,0.07
ADDI,125,0.005
ACTI,846,0.39
FSOL,7,0.08
COLO,88,0.02
ADDI,123,0.7955
GELI,92,0.1
ADDI,127,0.07
ADDI,125,0.018
ACTI,414,0.001
ABC,26,0.0005
GELI,75,0.015
ADDI,123,0.8125
GELI,92,0.1
ADDI,127,0.07
ADDI,125,0.015
ACTI,924,0.001
COLO,70,0.001
ABC,179,0.0005
EAU,7,0.848025
GELI,17,0.003
ADDI,3,0.0005
HUME,2,0.05
ADDI,98,0.0008
EAU,7,0.05
ACTI,31,0.0001
MOUS,9,0.01
ABC,179,0.0005
ACTI,834,0.02
ACTI,816,7.5e-05
HUME,16,0.01
CONS,23,0.001
CONS,37,0.003
CONS,56,0.003
ADDI,123,0.784
GELI,92,0.1
ADDI,127,0.07
ADDI,125,0.015
GELI,75,0.03
PARF,437,0.001
ADDI,123,0.7827
GELI,92,0.1
ADDI,127,0.07
ADDI,125,0.015
GELI,75,0.03
PARF,437,0.002
ACTI,876,0.0001
ADDI,68,0.0001
ABC,170,0.0001
ABC,171,0.775
ACTI,519,0.15
ADDI,10,0.075
EAU,3,0.9633
HUME,7,0.02
ADDI,3,0.0005
ACTI,21,0.005
SOL,24,0.00045
SOL,8,0.00025
MOUS,9,0.005
PARF,496,0.0005
CONS,28,0.005
EAU,8,0.6783
FSOL,6,0.001
ACTI,505,0.03
ABC,56,0.02
EAU,8,0.1
GELI,15,0.02
ABC,107,0.0001
ABC,15,0.02
SILI,9,0.02
MOUS,9,0.005
PARF,386,0.0005
CONS,28,0.005
EXTR,516,0.1
ABC,67,0.0001
EAU,5,0.7855
ADDI,3,0.0005
ABC,112,0.012
ACTI,4,0.05
EAU,3,0.05
ACTI,73,0.01
EAU,3,0.04
ACTI,490,0.01
MOUS,27,0.03
PARF,376,0.001
ACTI,43,0.001
CONS,28,0.01
EAU,8,0.869
GELI,15,0.02
ABC,15,0.0099
ABC,106,0.0001
ACTI,469,0.02
SILI,9,0.02
ACTI,626,0.03
ABC,56,0.02
MOUS,9,0.005
PARF,377,0.001
CONS,28,0.005
EAU,8,0.869075
GELI,15,0.02
ABC,15,0.0099
EXTR,324,2.5e-05
ACTI,469,0.02
SILI,9,0.02
ACTI,626,0.03
ABC,56,0.02
MOUS,9,0.005
PARF,377,0.001
CONS,28,0.005
EAU,4,0.9235
ADDI,3,0.0005
CONS,28,0.01
EAU,10,0.03
ACTI,466,0.02
MOUS,9,0.01
PARF,375,0.001
ACTI,533,0.005
EAU,4,0.8035
ADDI,3,0.0005
CONS,28,0.01
EAU,10,0.15
ACTI,560,0.02
MOUS,9,0.01
PARF,375,0.001
ACTI,533,0.005
EAU,4,0.8085
ADDI,3,0.0005
CONS,28,0.01
EAU,10,0.15
ACTI,854,0.02
MOUS,9,0.01
PARF,375,0.001
EAU,4,0.7575
ADDI,3,0.0005
ACTI,270,0.003
HUME,9,0.05
CONS,11,0.005
CONS,37,0.003
EAU,10,0.15
ACTI,854,0.02
MOUS,9,0.01
PARF,375,0.001
EAU,4,0.7575
ADDI,3,0.0005
HUME,9,0.05
CONS,23,0.001
CONS,11,0.005
CONS,37,0.003
EAU,10,0.15
ACTI,854,0.02
MOUS,9,0.01
CONS,56,0.002
PARF,375,0.001
EAU,4,0.7375
ADDI,3,0.0005
HUME,9,0.07
CONS,23,0.001
CONS,11,0.005
CONS,37,0.003
EAU,10,0.15
ACTI,854,0.02
MOUS,9,0.01
CONS,56,0.002
PARF,375,0.001
EAU,4,0.7575
ADDI,3,0.0005
HUME,9,0.05
CONS,54,0.006
CONS,37,0.003
EAU,10,0.15
ACTI,854,0.02
MOUS,9,0.01
CONS,56,0.002
PARF,375,0.001
EAU,4,0.4085
GELI,17,0.0025
HUME,2,0.1
ADDI,3,0.0005
EMUL,23,0.02
EMUL,27,0.03
ABC,120,0.03
CGRA,29,0.02
HUIL,174,0.02
ABC,12,0.1
FSOL,5,0.01
HUIL,4,0.1
ACTI,44,0.0005
ABC,125,0.05
HUIL,9,0.02
SILI,29,0.02
SILI,23,0.02
GELI,15,0.005
CONS,28,0.005
CONS,31,0.001
ACTI,175,0.005
ACTI,45,0.005
ACTI,478,0.005
PARF,381,0.0015
ADDI,98,0.0005
EXTR,3,0.02
EAU,8,0.4005
ACTI,278,0.02
ACTI,414,0.02
EAU,8,0.5
GELI,78,0.014
HUME,9,0.0099
ABC,106,0.0001
MOUS,9,0.01
PARF,455,0.0005
CONS,28,0.005
SILI,9,0.02
EAU,8,0.878108
HUME,2,0.05
HUME,7,0.05
ABC,56,0.001
GELI,17,0.002
ADDI,98,0.0004
ACTI,500,0.001
ABC,67,0.001
HUME,17,0.00099
EXTR,324,3e-06
MOUS,9,0.01
PARF,372,0.0005
CONS,28,0.005
EAU,5,0.827475
ADDI,3,0.0005
HUME,2,0.05
GELI,80,0.006
ABC,12,0.05
ACTI,469,0.01
HUIL,174,0.02
ACTI,500,0.01
SILI,48,0.01
HUME,17,0.01
EXTR,324,2.5e-05
PARF,382,0.001
CONS,28,0.005
EAU,4,0.833775
ADDI,3,0.0005
HUME,2,0.02
GELI,17,0.004
ADDI,98,0.0008
EMUL,1,0.02
HUIL,174,0.02
SILI,3,0.01
ABC,116,0.03
HUIL,4,0.02
ACTI,469,0.01
ABC,15,0.0099
EXTR,324,2.5e-05
ACTI,500,0.015
PARF,376,0.001
CONS,28,0.005
EAU,4,0.8338
ADDI,3,0.0005
HUME,2,0.02
GELI,17,0.004
EMUL,1,0.02
ADDI,98,0.0008
HUIL,174,0.02
SILI,3,0.01
ABC,116,0.03
HUIL,4,0.02
ACTI,469,0.01
HUME,17,0.0099
EXTR,324,2.5e-05
ACTI,500,0.015
PARF,376,0.001
CONS,28,0.005
EAU,4,0.6649
GELI,17,0.003
HUME,2,0.08
ABC,56,0.005
ADDI,3,0.0005
ADDI,98,0.0006
EMUL,3,0.05
ABC,120,0.02
HUIL,36,0.03
HUIL,174,0.05
ABC,12,0.02
HUIL,4,0.02
ACTI,469,0.01
SILI,7,0.02
ABC,106,0.0001
ABC,15,0.0099
ACTI,500,0.01
CONS,28,0.005
PARF,496,0.001
ADDI,123,0.6875
GELI,92,0.1
ADDI,127,0.15
ADDI,125,0.015
GELI,75,0.03
COLO,548,0.015
ACTI,860,0.001
PARF,574,0.0015
EAU,4,0.8824
ACTI,31,0.0001
ADDI,3,0.0005
HUME,2,0.05
GELI,17,0.003
GELI,15,0.005
HUIL,124,0.02
SILI,14,0.02
ADDI,17,0.003
CONS,28,0.005
ACTI,175,0.01
PARF,392,0.001
EAU,4,0.6894
ADDI,3,0.0005
HUME,2,0.03
HUME,7,0.03
GELI,17,0.004
EMUL,3,0.04
HUIL,18,0.03
HUIL,1,0.03
HUIL,4,0.03
HUIL,26,0.03
HUIL,12,0.02
ADDI,17,0.004
CONS,28,0.001
ACTI,175,0.01
PARF,392,0.001
ACTI,666,0.01
ACTI,31,0.0001
EAU,3,0.03
GELI,15,0.01
EAU,8,0.6057
ADDI,3,0.0005
ABC,112,0.01
ACTI,4,0.005
MOUS,31,0.2
EAU,8,0.1
ADDI,2,0.001
EAU,8,0.05
ACTI,73,0.001
MOUS,9,0.02
PARF,378,0.0005
ABC,109,0.001
CONS,28,0.005
SOL,9,0.0002
SOL,24,0.0001
SILI,7,0.319
SILI,44,0.45
HUIL,18,0.05
ACTI,558,0.05
ADDI,119,0.1
SILI,49,0.03
PARF,376,0.001
EAU,4,0.7607
ABC,17,0.0015
ADDI,3,0.0005
ABC,19,0.001
HUME,2,0.1
ABC,53,0.08
MOUS,9,0.02
PARF,379,0.0005
HUME,16,0.025
HUME,18,0.003
CONS,64,0.007
SOL,9,0.0008
EAU,4,0.81896
ABC,19,0.001
ADDI,3,0.0005
ACTI,270,0.002
HUME,2,0.05
ACTI,175,0.02
ACTI,31,0.0001
EAU,6,0.0099
ACTI,282,0.05
MOUS,9,0.01
PARF,382,0.0005
HUME,18,0.002
CONS,64,0.005
HUME,16,0.03
SOL,4,2e-05
SOL,9,2e-05
EAU,8,0.9115
GELI,80,0.004
GELI,68,0.001
ADDI,3,0.0005
ADDI,98,0.0003
MOUS,9,0.015
HUME,16,0.025
HUME,18,0.002
CONS,64,0.005
PARF,403,0.0005
ACTI,877,0.01
ACTI,175,0.01
ACTI,740,0.01
ACTI,646,0.005
ACTI,833,0.0002
EAU,4,0.6575
HUME,2,0.05
ACTI,31,0.001
ADDI,3,0.0005
GELI,55,0.005
EMUL,23,0.02
EMUL,27,0.03
ABC,120,0.02
HUIL,174,0.06
HUIL,9,0.01
ACTI,44,0.001
ACTI,169,0.005
HUME,17,0.05
ACTI,775,0.001
EAU,3,0.02
ACTI,270,0.004
ADDI,17,0.005
ACTI,850,0.05
LOU,1,0.01
MOUS,56,0.996
ACTI,836,0.003
PARF,496,0.001
EAU,4,0.574682
ACTI,270,0.004
GELI,55,0.006
EMUL,3,0.04
HUIL,4,0.02
HUIL,174,0.03
HUIL,18,0.03
CGRA,1,0.01
CONS,11,0.008
ACTI,721,0.0813
EAU,8,0.1
ACTI,414,0.02
EXTR,324,2e-05
EAU,8,0.009998
ADDI,98,0.021
GELI,15,0.045
EAU,4,0.59868
ACTI,270,0.004
ACTI,721,0.0813
CONS,11,0.008
ADDI,98,0.021
EMUL,3,0.04
HUIL,4,0.02
HUIL,174,0.03
HUIL,18,0.03
CGRA,1,0.01
EAU,8,0.1
ACTI,414,0.02
EXTR,324,2e-05
ADDI,98,0.002
GELI,50,0.035
EAU,4,0.59668
ACTI,270,0.004
ACTI,721,0.0813
CONS,11,0.008
ADDI,98,0.013
GELI,102,0.01
EMUL,3,0.04
HUIL,4,0.02
HUIL,174,0.03
HUIL,18,0.03
CGRA,1,0.01
EAU,8,0.1
ACTI,414,0.02
EXTR,324,2e-05
ADDI,98,0.002
GELI,50,0.035
SILI,7,0.169
SILI,44,0.45
HUIL,127,0.05
ADDI,119,0.1
SILI,49,0.03
ABC,169,0.2
PARF,379,0.001
EAU,8,0.4185
ACTI,503,0.21
ADDI,2,0.005
ADDI,505,0.06
ABC,19,0.005
ABC,112,0.005
HUME,2,0.03
EAU,8,0.1
GELI,36,0.01
EMUL,3,0.04
HUIL,18,0.03
HUIL,174,0.03
HUIL,4,0.03
EAU,3,0.02
CONS,21,0.0015
CONS,76,0.005
EAU,4,0.5662499999999999
ADDI,3,0.0005
HUME,2,0.05
GELI,17,0.007
ABC,17,0.0015
ADDI,17,0.0104
EMUL,1,0.02
ABC,12,0.04
HUIL,174,0.04
HUIL,4,0.04
CGRA,15,0.02
ABC,120,0.005
ACTI,761,0.01
ABC,105,0.0001
ADDI,114,0.005
ACTI,512,0.003
HUME,18,0.01
CONS,84,0.01
ACTI,175,0.03
EAU,4,0.03
ACTI,31,0.0001
EXTR,2,5e-05
EAU,4,0.03
ACTI,540,0.01
ACTI,650,0.01
ACTI,643,0.01
ACTI,645,0.04
EXTR,235,0.001
ABC,168,0.0001
EAU,5,0.7391
ACTI,505,0.0
ABC,56,0.02
EAU,5,0.1
GELI,15,0.01
EXTR,324,0.0001
HUME,17,0.0198
MOUS,9,0.005
PARF,386,0.001
CONS,28,0.005
ABC,95,0.1
EAU,5,0.739
ACTI,505,0.03
ABC,56,0.0
EAU,5,0.1
GELI,15,0.01
EXTR,324,0.0001
HUME,17,0.0099
MOUS,9,0.005
PARF,386,0.001
CONS,28,0.005
ABC,95,0.1
EAU,5,0.7191
ACTI,505,0.03
ABC,56,0.02
EAU,5,0.1
GELI,15,0.01
EXTR,324,0.0
HUME,17,0.0099
MOUS,9,0.005
PARF,386,0.001
CONS,28,0.005
ABC,95,0.1
EAU,5,0.6789000000000001
ACTI,505,0.03
ABC,56,0.02
EAU,5,0.1
GELI,15,0.01
EXTR,324,0.0001
HUME,17,0.04
MOUS,9,0.015
PARF,386,0.001
CONS,28,0.005
ABC,95,0.1
EAU,4,0.5349
ADDI,12,0.02
ACTI,878,0.05
GELI,36,0.01
EMUL,3,0.04
HUIL,4,0.04
HUIL,18,0.04
ABC,120,0.02
SOLV,2,0.15
EAU,3,0.02
ACTI,270,0.004
LOU,1,0.01
ACTI,848,0.02
ACTI,849,0.01
PARF,378,0.001
ADDI,1,0.0001
ACTI,851,0.03
EAU,4,0.68
ACTI,503,0.12
ACTI,414,0.01
ADDI,98,0.02
GELI,36,0.01
EMUL,3,0.03
ABC,12,0.03
ADDI,2,0.005
HUIL,174,0.03
HUIL,4,0.03
ACTI,848,0.02
ACTI,849,0.01
CONS,11,0.005
EAU,4,0.665
ACTI,503,0.12
ACTI,414,0.01
ADDI,98,0.02
GELI,36,0.01
EMUL,3,0.045
ABC,12,0.03
ADDI,2,0.005
HUIL,174,0.03
HUIL,4,0.03
ACTI,848,0.02
ACTI,849,0.01
CONS,11,0.005
EAU,4,0.405
CONS,11,0.01
GELI,36,0.01
GELI,50,0.01
EMUL,3,0.04
ADDI,2,0.005
ABC,12,0.03
HUIL,174,0.03
HUIL,4,0.03
EAU,3,0.05
ACTI,414,0.01
ADDI,98,0.01
EAU,3,0.2
ACTI,503,0.12
ADDI,98,0.01
ACTI,848,0.02
ACTI,849,0.01
EAU,4,0.555
ACTI,503,0.12
ADDI,98,0.01
CONS,11,0.01
GELI,36,0.01
GELI,50,0.01
EMUL,3,0.04
ADDI,2,0.005
ABC,12,0.03
HUIL,174,0.03
HUIL,4,0.03
ACTI,848,0.02
ACTI,849,0.01
EAU,3,0.1
ACTI,414,0.01
ADDI,98,0.01
EAU,5,0.5958
ADDI,3,0.0005
ABC,112,0.01
ACTI,4,0.005
EAU,3,0.1
ADDI,2,0.001
EAU,3,0.05
ACTI,73,0.001
MOUS,58,0.2
MOUS,9,0.03
PARF,399,0.0005
ABC,109,0.001
CONS,28,0.005
SOL,8,0.0001
SOL,24,0.0001
ADDI,123,0.7957
ADDI,127,0.07
GELI,92,0.1
ADDI,125,0.013
ABC,170,0.0001
ADDI,117,0.0001
ADDI,3,0.0001
GELI,75,0.02
ADDI,123,0.7957
ADDI,127,0.07
GELI,92,0.1
ADDI,125,0.013
ACTI,876,0.0001
ADDI,117,0.0001
ADDI,3,0.0001
GELI,75,0.02
ADDI,123,0.7957
ADDI,127,0.07
GELI,92,0.1
ADDI,125,0.013
ACTI,159,0.0001
ADDI,117,0.0001
ADDI,3,0.0001
GELI,75,0.02
EAU,8,0.87895
ADDI,3,0.0005
HUME,2,0.02
HUME,5,0.03
GELI,17,0.002
ADDI,17,0.002
CONS,28,0.005
PARF,376,0.0005
MOUS,9,0.005
EAU,8,0.05
ACTI,31,5e-05
ACTI,626,0.001
ACTI,835,0.002
ACTI,645,0.001
ACTI,175,0.001
SOL,28,0.001
EAU,4,0.7168
ADDI,3,0.0005
HUME,2,0.05
GELI,15,0.02
HUIL,174,0.05
HUIL,4,0.05
SILI,48,0.01
SILI,24,0.015
EAU,8,0.05
ACTI,31,0.0002
ACTI,835,0.01
ACTI,626,0.002
ACTI,175,0.01
ACTI,645,0.01
CONS,28,0.005
PARF,376,0.0005
EAU,4,0.4015
GELI,17,0.0025
HUME,2,0.1
ADDI,3,0.0005
HUME,5,0.05
EMUL,23,0.02
EMUL,27,0.03
ABC,120,0.03
CGRA,29,0.02
HUIL,174,0.02
HUIL,18,0.08
FSOL,5,0.01
HUIL,4,0.08
ACTI,44,0.0005
ABC,125,0.03
HUIL,9,0.02
SILI,7,0.02
SILI,23,0.02
GELI,15,0.005
CONS,28,0.005
CONS,31,0.001
ACTI,175,0.01
ACTI,45,0.005
ACTI,478,0.005
ACTI,645,0.01
ADDI,17,0.0025
PARF,381,0.0015
EXTR,3,0.02
EAU,5,0.68373
HUME,2,0.05
ADDI,3,0.0005
GELI,55,0.0015
ADDI,98,0.00045
EMUL,26,0.01
HUIL,127,0.13
CGRA,1,0.005
ADDI,2,0.0001
ACTI,4,0.001
EAU,3,0.05
ACTI,73,0.0005
EAU,3,0.05
EXTR,2,1e-05
CONS,28,0.005
PARF,378,0.001
SOL,9,0.001
SOL,24,0.0002
ACTI,234,0.005
EXTG,544,0.005
VITA,512,1e-05
EAU,5,0.66808
HUME,2,0.05
ADDI,3,0.0005
GELI,55,0.002
ADDI,98,0.0006
EMUL,26,0.01
HUIL,18,0.13
CGRA,1,0.02
ADDI,2,0.0001
ACTI,4,0.001
EAU,3,0.05
ACTI,73,0.0005
EAU,3,0.05
EXTR,2,1e-05
CONS,28,0.005
PARF,378,0.001
SOL,9,0.001
SOL,24,0.0002
ACTI,234,0.005
EXTG,544,0.005
VITA,512,1e-05
EAU,5,0.7588
ACTI,3,0.001
HUME,2,0.05
ACTI,21,0.001
ADDI,3,0.0005
GELI,55,0.002
ADDI,98,0.0006
EMUL,26,0.01
HUIL,18,0.13
CGRA,1,0.02
HUIL,24,0.005
ACTI,122,0.005
ADDI,2,0.0001
CONS,28,0.005
EXTR,46,0.01
PARF,346,0.001
EAU,5,0.7201799999999999
HUME,2,0.05
ADDI,3,0.0005
GELI,55,0.002
ADDI,98,0.0006
EMUL,26,0.01
HUIL,18,0.13
CGRA,1,0.02
ADDI,2,0.0001
EAU,3,0.03
EXTR,2,1e-05
CONS,28,0.005
ACTI,234,0.005
EXTG,544,0.005
ACTI,230,0.02
VITA,512,1e-05
SOL,24,0.0003
SOL,4,0.0003
PARF,392,0.001
EAU,4,0.71465
ABC,112,0.015
HUME,2,0.08
ADDI,3,0.003
MOUS,31,0.1
MOUS,9,0.02
MOUS,3,0.05
VITA,512,1e-05
PARF,302,0.001
EXTG,544,0.005
EXTR,130,0.005
SOL,24,0.00037
SOL,9,0.00097
CONS,28,0.005
EAU,4,0.7193499999999999
GELI,55,0.01
HUME,2,0.08
ADDI,3,0.003
ADDI,98,0.0003
MOUS,31,0.1
MOUS,9,0.02
MOUS,3,0.05
VITA,512,1e-05
PARF,302,0.001
CONS,28,0.005
EXTG,544,0.005
EXTR,130,0.005
SOL,24,0.00037
SOL,9,0.00097
EAU,7,0.85155
ADDI,3,0.001
HUME,5,0.03
FSOL,6,0.0005
HUME,2,0.05
EXTR,2,5e-05
EAU,3,0.05
CONS,28,0.005
ACTI,234,0.0025
SOL,9,0.0003
SOL,4,0.0001
MOUS,27,0.008
PARF,383,0.001
EAU,7,0.89567
ADDI,3,0.001
HUME,5,0.03
HUME,2,0.05
ACTI,21,0.001
FSOL,6,0.0005
CONS,28,0.005
EXTR,99,0.005
SOL,9,0.00032
ADDI,98,0.0003
ACTI,608,1e-05
ADDI,2,0.0002
PARF,302,0.001
MOUS,27,0.01
EAU,7,0.8602
ADDI,3,0.001
HUME,5,0.03
FSOL,6,0.0005
HUME,2,0.08
ACTI,21,0.002
EXTR,46,0.01
CONS,28,0.005
SOL,8,0.0003
PARF,346,0.001
MOUS,27,0.01
EAU,7,0.83705
ADDI,3,0.001
FSOL,6,0.0005
HUME,5,0.05
HUME,2,0.08
SOL,4,0.00015
SOL,24,0.0003
CONS,28,0.005
ACTI,102,0.005
EXTR,147,0.01
MOUS,27,0.01
PARF,392,0.001
MOUS,50,0.1
ACTI,87,0.0067
MOUS,29,0.08
ADDI,2,0.01
CONS,10,0.005
EAU,8,0.646
ADDI,3,0.001
GELI,55,0.0125
EAU,4,0.05
CONS,37,0.002
GELI,21,0.003
ADDI,17,0.0132
EAU,8,0.02
ACTI,411,0.0001
PARF,302,0.0025
MOUS,37,0.016
CONS,532,0.001
ACTI,73,0.0005
MOUS,12,0.03
ACTI,533,0.0005
EAU,4,0.7657
HUME,2,0.04
ADDI,3,0.001
CONS,61,0.01
GELI,55,0.01
ADDI,98,0.003
HUME,17,0.03
CONS,37,0.003
ACTI,4,0.002
ACTI,74,0.005
ADDI,27,0.03
EXTR,2,0.0003
EAU,9,0.1
EAU,4,0.7474
HUME,2,0.04
FSOL,6,0.0005
ADDI,3,0.001
GELI,55,0.008
ADDI,98,0.0024
CONS,61,0.01
CONS,37,0.003
HUME,17,0.03
ACTI,74,0.005
ACTI,4,0.002
SILI,9,0.01
SOL,24,0.0001
SOL,9,0.0003
EXTR,3,0.01
ADDI,27,0.03
EXTR,2,0.0003
EAU,9,0.1
EAU,5,0.6938
CONS,61,0.01
ADDI,3,0.001
HUME,7,0.03
GELI,43,0.004
EMUL,1,0.005
ADDI,98,0.0012
EMUL,51,0.02
EMUL,52,0.02
HUIL,4,0.04
HUIL,24,0.04
HUIL,174,0.03
GELI,15,0.012
CONS,37,0.003
HUME,2,0.03
ACTI,434,0.03
ACTI,282,0.03
EAU,7,0.4697
GELI,15,0.035
HUIL,127,0.001
ABC,100,0.001
HUIL,4,0.03
SOLV,2,0.3
ACTI,9,0.02
HUME,17,0.03
CONS,61,0.01
CONS,37,0.003
EXTR,318,0.03
EXTR,18,0.005
ACTI,815,0.005
EXTG,507,0.005
EXTR,82,0.005
ACTI,395,0.05
EAU,7,0.8485
ADDI,3,0.0005
ACTI,21,0.002
HUME,7,0.03
GELI,15,0.005
ACTI,843,0.02
ACTI,139,0.01
ACTI,407,0.03
HUME,2,0.03
CONS,37,0.003
CONS,61,0.01
PARF,376,0.001
MOUS,58,0.01
EAU,5,0.5071
ACTI,21,0.001
ADDI,3,0.0015
HUME,2,0.032
ACTI,3,0.0001
GELI,17,0.0065
ADDI,17,0.0095
CGRA,531,0.12
SILI,37,0.044
CGRA,16,0.032
HUIL,18,0.032
EMUL,3,0.042
HUIL,24,0.02
CGRA,1,0.0065
FSOL,1,0.003
HUME,23,0.03
CONS,10,0.01
CONS,37,0.002
EXTR,134,0.01
EXTR,310,0.01
SOL,8,0.0008
EAU,3,0.05
ACTI,9,0.001
ACTI,561,0.004
SOLV,2,0.02
PARF,154,0.005
EAU,5,0.4419
ACTI,21,0.001
ADDI,3,0.0015
HUME,2,0.032
ACTI,3,0.0001
GELI,17,0.0065
ADDI,17,0.0095
ACTI,6,0.07
SILI,37,0.044
CGRA,16,0.032
HUIL,18,0.15
EMUL,3,0.042
HUIL,24,0.02
CGRA,1,0.0065
FSOL,1,0.003
HUME,23,0.03
CONS,10,0.01
CONS,37,0.002
EXTR,134,0.01
EXTR,310,0.01
PARF,103,0.001
PARF,138,0.002
EAU,3,0.05
ACTI,9,0.001
ACTI,561,0.004
SOLV,2,0.02
EAU,5,0.4703999999999998
ACTI,21,0.001
ADDI,3,0.0015
HUME,2,0.032
ACTI,3,0.0001
ACTI,6,0.07
GELI,20,0.03
SILI,37,0.04
CGRA,16,0.01
HUIL,18,0.07
EMUL,3,0.03
CGRA,1,0.005
FSOL,1,0.003
HUME,23,0.03
CONS,10,0.01
CONS,37,0.002
EXTR,134,0.01
EXTR,310,0.01
PARF,103,0.001
PARF,138,0.002
EAU,3,0.05
ACTI,9,0.001
ACTI,561,0.001
SOLV,2,0.02
EAU,5,0.39139999999999997
ADDI,3,0.0015
HUME,2,0.032
ACTI,3,0.0001
ACTI,6,0.07
GELI,20,0.03
CGRA,15,0.02
SILI,37,0.04
CGRA,16,0.01
HUIL,18,0.07
EMUL,3,0.03
CGRA,1,0.025
FSOL,1,0.003
CGRA,26,0.04
HUME,23,0.03
CONS,10,0.01
CONS,37,0.002
EXTR,134,0.01
EXTR,310,0.01
PARF,103,0.001
PARF,138,0.002
EAU,3,0.05
ACTI,9,0.001
ACTI,561,0.001
SOLV,2,0.02
EAU,5,0.7629
ADDI,3,0.0005
HUME,23,0.01
HUME,2,0.01
HUME,17,0.01
HUME,8,0.01
ADDI,10,0.005
GELI,17,0.003
EMUL,51,0.025
EMUL,52,0.025
HUIL,50,0.02
HUIL,127,0.03
CGRA,556,0.01
ABC,120,0.02
CGRA,15,0.01
SILI,28,0.01
SILI,7,0.01
ADDI,17,0.003
ACTI,31,0.0001
EAU,3,0.0099
EXTR,382,0.005
EXTR,2,5e-05
CONS,28,0.01
PARF,391,0.0005
SOL,42,5e-05
EAU,4,0.6925
ACTI,270,0.003
HUME,2,0.03
GELI,17,0.004
ADDI,98,0.0005
EMUL,89,0.05
CGRA,52,0.03
HUIL,40,0.03
HUIL,41,0.08
CGRA,14,0.01
HUME,5,0.03
CONS,37,0.003
HUME,16,0.01
CONS,23,0.001
ACTI,36,0.01
ACTI,758,0.001
EXTR,266,0.005
ACTI,859,0.01
EAU,4,0.6725
ACTI,270,0.003
HUME,2,0.03
GELI,17,0.004
ADDI,98,0.0005
EMUL,89,0.06
CGRA,52,0.03
HUIL,40,0.03
HUIL,41,0.08
CGRA,14,0.02
HUME,5,0.03
CONS,37,0.003
HUME,16,0.01
CONS,23,0.001
ACTI,36,0.01
ACTI,758,0.001
EXTR,266,0.005
ACTI,859,0.01
EAU,4,0.6918500000000001
ACTI,270,0.003
